# time S I R
80.524810 828 92 81
80.629500 827 93 81
80.659372 826 94 81
80.674742 825 95 81
80.729492 824 96 81
80.778368 823 97 81
80.793618 823 96 82
80.793935 822 97 82
80.935909 822 96 83
81.075719 821 97 83
81.107058 821 96 84
81.196911 820 97 84
81.419431 819 98 84
81.600223 818 99 84
81.721896 817 100 84
81.753394 817 99 85
82.117298 816 100 85
82.247603 815 101 85
82.284541 815 100 86
82.330707 814 101 86
82.373403 814 100 87
82.407407 814 99 88
82.635127 814 98 89
82.933581 814 97 90
82.959285 814 96 91
83.043256 814 95 92
83.141602 813 96 92
83.216548 812 97 92
83.277138 812 96 93
83.277807 811 97 93
83.393664 811 96 94
83.411175 811 95 95
83.524345 810 96 95
83.688536 809 97 95
83.793722 808 98 95
83.815798 808 97 96
83.911175 807 98 96
84.103497 807 97 97
84.148023 807 96 98
84.215836 807 95 99
84.230181 806 96 99
84.250776 805 97 99
84.367472 804 98 99
84.373175 803 99 99
84.532855 802 100 99
84.616731 801 101 99
84.724121 801 100 100
84.795197 800 101 100
84.857537 799 102 100
84.883872 798 103 100
84.948057 797 104 100
84.950187 796 105 100
84.959867 795 106 100
85.265002 794 107 100
85.404334 794 106 101
85.434329 794 105 102
85.641135 794 104 103
85.649561 793 105 103
85.650334 792 106 103
85.842119 791 107 103
85.865938 790 108 103
85.899199 789 109 103
85.996420 788 110 103
86.403143 787 111 103
86.544330 787 110 104
86.650899 786 111 104
86.725691 785 112 104
86.730110 784 113 104
86.784568 784 112 105
86.870701 783 113 105
87.132341 782 114 105
87.195534 781 115 105
87.202009 780 116 105
87.211190 780 115 106
87.250589 779 116 106
87.372017 778 117 106
87.380994 777 118 106
87.539369 776 119 106
87.559347 775 120 106
87.619269 774 121 106
87.631909 774 120 107
87.655390 774 119 108
87.675231 773 120 108
87.707441 772 121 108
87.830861 771 122 108
87.877146 771 121 109
87.883267 771 120 110
87.926431 770 121 110
87.935469 769 122 110
87.968973 769 121 111
88.030072 768 122 111
88.046548 767 123 111
88.151122 767 122 112
88.177789 766 123 112
88.206700 765 124 112
88.241055 765 123 113
88.242213 765 122 114
88.250510 765 121 115
88.265142 765 120 116
88.382949 765 119 117
88.578339 764 120 117
88.584774 763 121 117
88.585656 762 122 117
88.717830 761 123 117
88.776915 761 122 118
88.803599 761 121 119
88.862924 760 122 119
88.887243 759 123 119
88.974851 758 124 119
88.975053 758 123 120
89.040101 757 124 120
89.056906 757 123 121
89.249622 756 124 121
89.344779 756 123 122
89.457132 755 124 122
89.888201 754 125 122
89.984617 753 126 122
90.020938 752 127 122
90.027629 752 126 123
90.064265 752 125 124
90.069425 751 126 124
90.127929 751 125 125
90.128657 750 126 125
90.134717 749 127 125
90.166851 748 128 125
90.213902 747 129 125
90.227468 747 128 126
90.286055 747 127 127
90.338191 746 128 127
90.343354 745 129 127
90.343680 745 128 128
90.363659 744 129 128
90.387763 743 130 128
90.489676 742 131 128
90.506255 741 132 128
90.569920 741 131 129
90.581300 741 130 130
90.592245 740 131 130
90.972550 739 132 130
90.997866 739 131 131
91.016755 739 130 132
91.122883 739 129 133
91.197553 738 130 133
91.337332 738 129 134
91.378138 737 130 134
91.387499 737 129 135
91.397877 737 128 136
91.506781 737 127 137
91.561477 737 126 138
91.650898 737 125 139
91.767516 737 124 140
91.853522 736 125 140
91.899956 736 124 141
91.919316 736 123 142
91.936364 735 124 142
91.998478 734 125 142
92.124755 733 126 142
92.128859 733 125 143
92.153666 732 126 143
92.169662 732 125 144
92.197939 731 126 144
92.224434 730 127 144
92.239091 729 128 144
92.296445 728 129 144
92.351655 727 130 144
92.358076 726 131 144
92.473679 726 130 145
92.552014 725 131 145
92.645251 725 130 146
92.678349 724 131 146
92.826444 723 132 146
92.844614 722 133 146
92.925497 721 134 146
93.004332 720 135 146
93.093820 719 136 146
93.134776 719 135 147
93.258521 719 134 148
93.283413 718 135 148
93.344084 718 134 149
93.367743 718 133 150
93.400083 717 134 150
93.586945 717 133 151
93.670164 716 134 151
93.700380 716 133 152
93.767351 715 134 152
93.801298 715 133 153
93.892069 714 134 153
93.921544 713 135 153
93.960228 712 136 153
94.009631 712 135 154
94.031416 711 136 154
94.062857 711 135 155
94.146271 710 136 155
94.151050 709 137 155
94.185377 709 136 156
94.228841 709 135 157
94.238783 709 134 158
94.314600 708 135 158
94.361263 707 136 158
94.386687 706 137 158
94.526007 705 138 158
94.555411 704 139 158
94.560547 703 140 158
94.694601 703 139 159
94.763775 702 140 159
94.816667 701 141 159
94.883793 700 142 159
94.916346 699 143 159
94.991582 699 142 160
95.082551 698 143 160
95.091651 698 142 161
95.127598 698 141 162
95.293376 698 140 163
95.295349 697 141 163
95.380527 696 142 163
95.539485 696 141 164
95.556896 695 142 164
95.620910 695 141 165
95.682238 694 142 165
95.720865 694 141 166
95.722419 693 142 166
95.730871 692 143 166
95.745047 692 142 167
95.843416 692 141 168
95.896370 691 142 168
96.118612 691 141 169
96.223116 691 140 170
96.239133 690 141 170
96.404198 689 142 170
96.530293 688 143 170
96.571168 687 144 170
96.592650 687 143 171
96.635786 686 144 171
96.770445 686 143 172
96.860818 686 142 173
96.915284 686 141 174
96.926234 686 140 175
97.018027 685 141 175
97.099494 685 140 176
97.153780 684 141 176
97.163373 683 142 176
97.196996 682 143 176
97.201718 681 144 176
97.271754 681 143 177
97.296066 681 142 178
97.335777 681 141 179
97.361648 680 142 179
97.391141 679 143 179
97.434615 678 144 179
97.436239 677 145 179
97.462623 676 146 179
97.503042 675 147 179
97.601755 674 148 179
97.632121 673 149 179
97.689695 672 150 179
97.740426 672 149 180
97.756271 672 148 181
97.770720 671 149 181
97.771854 670 150 181
97.808957 669 151 181
97.834366 668 152 181
97.859768 667 153 181
97.892706 667 152 182
98.015573 667 151 183
98.022326 666 152 183
98.038950 665 153 183
98.121809 665 152 184
98.134916 664 153 184
98.205996 663 154 184
98.216553 663 153 185
98.303385 663 152 186
98.331995 663 151 187
98.409330 663 150 188
98.477951 662 151 188
98.499360 662 150 189
98.898854 662 149 190
98.916754 661 150 190
98.937854 660 151 190
98.971965 660 150 191
98.991303 660 149 192
99.003147 659 150 192
99.007642 658 151 192
99.163370 658 150 193
99.206652 658 149 194
99.265448 657 150 194
99.306068 657 149 195
99.363962 656 150 195
99.392701 655 151 195
99.439120 654 152 195
99.477771 653 153 195
99.486722 653 152 196
99.521461 652 153 196
99.544887 651 154 196
99.573440 651 153 197
99.620326 651 152 198
99.730799 650 153 198
99.791710 649 154 198
99.808716 648 155 198
99.829161 647 156 198
99.832236 646 157 198
99.858667 646 156 199
99.866379 646 155 200
99.874259 646 154 201
99.949726 646 153 202
100.003841 646 152 203
100.045769 645 153 203
100.061309 644 154 203
100.161637 643 155 203
100.288550 642 156 203
100.550887 641 157 203
100.590610 641 156 204
100.648877 640 157 204
100.685403 639 158 204
100.795934 638 159 204
100.908336 638 158 205
100.917547 637 159 205
100.999920 636 160 205
101.002180 635 161 205
101.084508 634 162 205
101.109512 633 163 205
101.225476 633 162 206
101.417079 633 161 207
101.517948 633 160 208
101.634756 632 161 208
101.653070 631 162 208
101.724084 631 161 209
101.767951 630 162 209
101.804500 630 161 210
101.859719 629 162 210
101.873327 629 161 211
101.881867 629 160 212
102.091780 629 159 213
102.156984 628 160 213
102.197747 628 159 214
102.248513 627 160 214
102.249139 626 161 214
102.273875 625 162 214
102.295379 625 161 215
102.369135 624 162 215
102.378029 623 163 215
102.496932 622 164 215
102.537934 621 165 215
102.572801 620 166 215
102.854542 620 165 216
102.862217 620 164 217
103.023013 619 165 217
103.033556 619 164 218
103.067211 618 165 218
103.068319 617 166 218
103.075970 616 167 218
103.084440 616 166 219
103.094369 615 167 219
103.098727 615 166 220
103.120945 614 167 220
103.135677 613 168 220
103.311091 613 167 221
103.317604 613 166 222
103.367049 612 167 222
103.417226 612 166 223
103.461696 612 165 224
103.462764 612 164 225
103.620163 612 163 226
103.663953 612 162 227
103.685097 611 163 227
103.750293 610 164 227
103.819755 609 165 227
103.858748 609 164 228
103.865966 609 163 229
103.871308 608 164 229
103.873980 608 163 230
103.885930 608 162 231
103.916551 607 163 231
103.945687 607 162 232
103.975959 607 161 233
104.065021 607 160 234
104.090096 606 161 234
104.116110 605 162 234
104.143335 605 161 235
104.169062 604 162 235
104.171388 603 163 235
104.232373 603 162 236
104.261058 603 161 237
104.281810 603 160 238
104.443134 602 161 238
104.481614 602 160 239
104.566110 602 159 240
104.780249 601 160 240
104.810876 600 161 240
104.826745 599 162 240
104.905681 598 163 240
104.936833 597 164 240
104.960526 596 165 240
104.979690 596 164 241
105.053653 595 165 241
105.071599 594 166 241
105.203821 594 165 242
105.350294 593 166 242
105.399191 592 167 242
105.463444 591 168 242
105.498263 590 169 242
105.526756 590 168 243
105.533705 590 167 244
105.571159 589 168 244
105.622914 589 167 245
105.630412 588 168 245
105.688218 588 167 246
105.717921 588 166 247
105.734797 587 167 247
105.876677 587 166 248
105.949985 587 165 249
105.983317 587 164 250
106.204179 587 163 251
106.243582 587 162 252
106.435201 586 163 252
106.458396 586 162 253
106.482062 586 161 254
106.728199 586 160 255
106.919884 586 159 256
106.931818 585 160 256
106.966940 585 159 257
107.019005 585 158 258
107.052756 584 159 258
107.066511 583 160 258
107.123042 583 159 259
107.155971 582 160 259
107.185782 582 159 260
107.237722 581 160 260
107.243377 581 159 261
107.276982 580 160 261
107.317299 579 161 261
107.352786 579 160 262
107.536167 578 161 262
107.566946 578 160 263
107.603987 577 161 263
107.605287 576 162 263
107.616674 576 161 264
107.630156 575 162 264
107.704120 574 163 264
107.792519 574 162 265
107.868296 573 163 265
107.869459 572 164 265
107.872255 571 165 265
108.026902 570 166 265
108.140845 570 165 266
108.238272 570 164 267
108.271874 569 165 267
108.364206 568 166 267
108.404926 567 167 267
108.537987 567 166 268
108.543170 567 165 269
108.582964 566 166 269
108.672169 565 167 269
108.720038 564 168 269
108.748326 563 169 269
108.807490 562 170 269
108.868521 561 171 269
109.006123 560 172 269
109.022144 559 173 269
109.037790 559 172 270
109.105017 558 173 270
109.183793 558 172 271
109.205590 558 171 272
109.262418 557 172 272
109.482266 556 173 272
109.550409 555 174 272
109.592342 554 175 272
109.651298 553 176 272
109.656371 552 177 272
109.676880 551 178 272
109.729818 550 179 272
109.831927 550 178 273
109.850482 549 179 273
109.876641 548 180 273
109.991565 548 179 274
110.086594 547 180 274
110.169599 547 179 275
110.197958 547 178 276
110.369891 546 179 276
110.451159 546 178 277
110.457613 546 177 278
110.463825 545 178 278
110.558048 545 177 279
110.561604 544 178 279
110.616820 543 179 279
110.622606 542 180 279
110.732034 541 181 279
110.896564 541 180 280
110.912067 540 181 280
110.980814 540 180 281
110.985999 539 181 281
111.024146 538 182 281
111.028903 537 183 281
111.180962 537 182 282
111.211154 537 181 283
111.254762 537 180 284
111.286161 537 179 285
111.314254 536 180 285
111.329357 536 179 286
111.416396 536 178 287
111.504770 536 177 288
111.557653 536 176 289
111.665319 535 177 289
111.668837 534 178 289
111.859413 533 179 289
111.875424 532 180 289
111.894858 532 179 290
111.951747 531 180 290
111.973899 531 179 291
112.019316 530 180 291
112.026618 530 179 292
112.126888 530 178 293
112.145423 530 177 294
112.305690 529 178 294
112.330293 528 179 294
112.368060 527 180 294
112.435580 526 181 294
112.484445 526 180 295
112.535081 526 179 296
112.625410 526 178 297
112.683371 525 179 297
112.705692 525 178 298
112.719830 524 179 298
112.727982 524 178 299
112.732004 524 177 300
112.772700 524 176 301
112.837990 523 177 301
112.839799 522 178 301
112.914684 521 179 301
112.920471 520 180 301
112.922101 519 181 301
112.943095 518 182 301
112.961256 518 181 302
113.044554 517 182 302
113.073191 517 181 303
113.097604 517 180 304
113.116213 517 179 305
113.140142 516 180 305
113.246476 516 179 306
113.274601 516 178 307
113.324541 516 177 308
113.329037 516 176 309
113.332875 516 175 310
113.336284 516 174 311
113.402382 515 175 311
113.420302 515 174 312
113.447154 515 173 313
113.617945 515 172 314
113.632231 515 171 315
113.836840 514 172 315
113.945151 514 171 316
113.976161 514 170 317
114.036381 514 169 318
114.112079 513 170 318
114.148348 513 169 319
114.177171 513 168 320
114.549517 512 169 320
114.594576 512 168 321
114.631761 512 167 322
114.660478 512 166 323
114.751497 511 167 323
114.886512 511 166 324
114.988893 511 165 325
115.045054 510 166 325
115.410109 509 167 325
115.627823 508 168 325
115.716751 508 167 326
115.729947 507 168 326
115.748916 507 167 327
115.890296 507 166 328
115.945710 506 167 328
115.999023 506 166 329
116.008862 506 165 330
116.024904 505 166 330
116.055290 505 165 331
116.055452 505 164 332
116.093607 505 163 333
116.129170 504 164 333
116.132470 503 165 333
116.135329 503 164 334
116.263139 503 163 335
116.326135 503 162 336
116.351669 502 163 336
116.390648 502 162 337
116.434097 501 163 337
116.463032 501 162 338
116.470260 500 163 338
116.471734 499 164 338
116.546527 499 163 339
116.593119 499 162 340
116.655250 499 161 341
116.691082 499 160 342
116.895429 498 161 342
116.927389 498 160 343
116.930629 498 159 344
116.980516 497 160 344
117.126857 497 159 345
117.249475 497 158 346
117.445038 497 157 347
117.492112 496 158 347
117.530434 495 159 347
117.596257 495 158 348
117.603015 494 159 348
117.619874 494 158 349
117.626262 494 157 350
117.738637 494 156 351
117.756312 493 157 351
117.844329 493 156 352
117.864775 493 155 353
117.888551 492 156 353
117.893256 491 157 353
118.058767 491 156 354
118.205874 490 157 354
118.254102 490 156 355
118.279460 490 155 356
118.291763 489 156 356
118.292339 488 157 356
118.312053 487 158 356
118.542071 487 157 357
118.565221 486 158 357
118.614101 486 157 358
118.665135 485 158 358
118.717525 485 157 359
118.764328 484 158 359
118.777102 483 159 359
118.857611 483 158 360
118.925325 482 159 360
118.972611 482 158 361
119.012871 482 157 362
119.071898 481 158 362
119.108525 481 157 363
119.205592 481 156 364
119.329173 481 155 365
119.435385 480 156 365
119.469240 479 157 365
119.587236 478 158 365
119.588173 477 159 365
119.598476 476 160 365
119.613707 476 159 366
119.741499 475 160 366
119.760238 474 161 366
119.776156 473 162 366
119.836097 472 163 366
119.851600 471 164 366
120.150887 470 165 366
120.153488 469 166 366
120.202622 468 167 366
120.217712 467 168 366
120.252295 467 167 367
120.377036 467 166 368
120.404470 467 165 369
120.657092 466 166 369
120.680790 466 165 370
120.688921 466 164 371
120.696122 466 163 372
120.732706 465 164 372
120.847910 464 165 372
120.884802 464 164 373
120.888237 464 163 374
120.922736 464 162 375
120.989064 463 163 375
121.115473 463 162 376
121.130553 463 161 377
121.285557 462 162 377
121.572913 461 163 377
121.579493 460 164 377
121.584122 459 165 377
121.617518 458 166 377
121.967699 457 167 377
122.244155 457 166 378
122.279837 457 165 379
122.314621 456 166 379
122.318739 455 167 379
122.321192 455 166 380
122.349106 455 165 381
122.353224 454 166 381
122.382781 453 167 381
122.389332 452 168 381
122.407363 452 167 382
122.509071 451 168 382
122.558263 450 169 382
122.569438 450 168 383
122.573916 449 169 383
122.598510 449 168 384
122.629881 449 167 385
122.652293 448 168 385
122.718984 447 169 385
122.765992 446 170 385
122.878906 445 171 385
122.951216 444 172 385
122.964098 444 171 386
123.024180 444 170 387
123.172497 443 171 387
123.278129 443 170 388
123.371914 443 169 389
123.400916 443 168 390
123.544300 443 167 391
123.636550 443 166 392
123.647401 443 165 393
123.687518 443 164 394
123.751583 442 165 394
123.816950 441 166 394
123.864186 440 167 394
124.363118 439 168 394
124.483909 438 169 394
124.491429 438 168 395
124.534269 438 167 396
124.540551 437 168 396
124.630424 436 169 396
124.638369 435 170 396
124.650918 434 171 396
124.712231 434 170 397
124.774444 433 171 397
124.837615 433 170 398
124.871661 432 171 398
124.877740 432 170 399
124.936084 432 169 400
124.997415 431 170 400
125.001726 431 169 401
125.061553 431 168 402
125.116559 431 167 403
125.120214 431 166 404
125.163768 431 165 405
125.164684 430 166 405
125.180335 430 165 406
125.189388 430 164 407
125.198614 430 163 408
125.205905 429 164 408
125.212757 428 165 408
