# time S I R
148.982600 308 115 578
148.990090 308 114 579
149.084840 308 113 580
149.110940 307 114 580
149.336017 307 113 581
149.345699 307 112 582
149.359245 307 111 583
149.389203 306 112 583
149.482261 306 111 584
149.648258 305 112 584
150.045988 304 113 584
150.067995 303 114 584
150.083106 302 115 584
150.277898 302 114 585
150.475125 301 115 585
150.583904 300 116 585
150.765025 299 117 585
150.877919 299 116 586
151.055463 298 117 586
151.081083 298 116 587
151.152137 297 117 587
151.188335 296 118 587
151.227301 296 117 588
151.335026 295 118 588
151.340877 294 119 588
151.433827 294 118 589
151.443550 294 117 590
151.665461 294 116 591
151.675631 294 115 592
151.734959 293 116 592
151.787294 292 117 592
151.856973 292 116 593
151.932437 291 117 593
151.937846 291 116 594
151.958670 291 115 595
152.384344 291 114 596
152.436685 290 115 596
152.541578 290 114 597
152.640236 289 115 597
152.708828 289 114 598
153.034558 289 113 599
153.187138 288 114 599
153.246958 288 113 600
153.275882 288 112 601
153.398005 288 111 602
153.437651 287 112 602
153.595842 286 113 602
153.695971 286 112 603
153.752285 286 111 604
153.779635 286 110 605
153.950549 286 109 606
154.146468 285 110 606
154.319018 284 111 606
154.405894 284 110 607
154.518496 284 109 608
154.538925 284 108 609
154.666716 283 109 609
154.741168 283 108 610
154.809299 283 107 611
154.816921 283 106 612
154.961396 282 107 612
155.099936 281 108 612
155.180929 280 109 612
155.245700 280 108 613
155.250570 280 107 614
155.369027 280 106 615
155.446069 280 105 616
155.452138 280 104 617
155.476062 279 105 617
155.479547 279 104 618
155.709687 279 103 619
155.735946 279 102 620
156.015474 278 103 620
156.106127 278 102 621
156.173628 278 101 622
156.206228 278 100 623
156.260790 278 99 624
156.318121 277 100 624
156.685350 276 101 624
156.764086 276 100 625
156.806995 276 99 626
156.855776 276 98 627
157.193712 276 97 628
157.200405 276 96 629
157.260767 276 95 630
157.396363 276 94 631
157.486461 276 93 632
157.493576 276 92 633
157.626802 275 93 633
157.651661 275 92 634
157.720601 274 93 634
157.847756 273 94 634
157.850951 273 93 635
157.976846 273 92 636
158.009396 272 93 636
158.042788 271 94 636
158.079997 271 93 637
158.314775 270 94 637
158.428725 269 95 637
158.461165 269 94 638
158.530364 269 93 639
158.601317 268 94 639
158.707254 268 93 640
158.751105 268 92 641
158.763634 268 91 642
158.800491 268 90 643
158.829585 268 89 644
158.844032 267 90 644
158.925985 267 89 645
158.962993 267 88 646
158.992693 267 87 647
159.031023 266 88 647
159.083374 266 87 648
159.119197 265 88 648
159.255260 265 87 649
159.743402 265 86 650
159.888009 264 87 650
160.255842 263 88 650
160.486876 263 87 651
160.565449 263 86 652
160.847567 262 87 652
160.855380 262 86 653
160.933604 262 85 654
161.096546 261 86 654
161.220907 261 85 655
161.359928 261 84 656
161.482235 260 85 656
161.494040 260 84 657
161.518606 260 83 658
161.538432 260 82 659
161.543886 260 81 660
161.774211 260 80 661
161.945458 260 79 662
162.003966 260 78 663
162.282115 260 77 664
162.291528 259 78 664
162.499406 258 79 664
162.618687 258 78 665
162.714044 257 79 665
162.761512 256 80 665
162.941000 255 81 665
163.086434 255 80 666
163.312885 254 81 666
163.386763 254 80 667
163.610073 254 79 668
163.797039 253 80 668
163.966159 253 79 669
163.982087 253 78 670
164.068663 253 77 671
164.106398 253 76 672
164.599890 252 77 672
164.908764 252 76 673
165.174052 252 75 674
165.176624 252 74 675
165.280530 251 75 675
165.664294 251 74 676
165.727036 250 75 676
165.902110 249 76 676
165.907063 248 77 676
166.136151 248 76 677
166.204836 248 75 678
166.346257 247 76 678
166.991397 247 75 679
167.108042 247 74 680
167.118380 247 73 681
167.409082 247 72 682
167.479396 246 73 682
167.572445 245 74 682
167.678475 245 73 683
167.806337 244 74 683
167.891398 243 75 683
168.056457 242 76 683
168.114871 242 75 684
168.304436 241 76 684
168.397738 241 75 685
168.740757 241 74 686
168.839378 240 75 686
169.379409 239 76 686
169.464125 238 77 686
169.578487 238 76 687
169.594479 237 77 687
169.881737 237 76 688
170.208870 237 75 689
170.311421 236 76 689
170.390601 236 75 690
170.495813 235 76 690
171.097501 235 75 691
171.210765 234 76 691
171.445280 234 75 692
171.473269 233 76 692
171.682408 233 75 693
171.781340 232 76 693
172.097049 232 75 694
172.270600 231 76 694
172.915666 230 77 694
173.111838 230 76 695
173.160970 230 75 696
173.275866 230 74 697
173.318674 230 73 698
173.517988 230 72 699
173.638993 230 71 700
173.985370 230 70 701
174.237357 230 69 702
174.406195 230 68 703
174.412616 229 69 703
174.435468 229 68 704
174.555061 228 69 704
174.591881 227 70 704
174.791130 227 69 705
175.119485 227 68 706
175.335789 227 67 707
175.560104 226 68 707
175.719381 226 67 708
175.887328 226 66 709
176.341225 225 67 709
176.682710 225 66 710
176.684124 225 65 711
176.735130 225 64 712
177.350882 225 63 713
177.363634 225 62 714
177.796160 224 63 714
177.816689 223 64 714
177.827480 223 63 715
178.262863 223 62 716
178.316554 223 61 717
178.406451 223 60 718
178.434620 223 59 719
178.462870 223 58 720
178.553160 223 57 721
178.670685 223 56 722
178.705891 222 57 722
178.980741 222 56 723
179.139358 222 55 724
179.399149 222 54 725
179.703021 222 53 726
179.724038 222 52 727
179.770026 222 51 728
179.816325 222 50 729
180.096484 222 49 730
180.194957 222 48 731
180.261185 222 47 732
180.467478 221 48 732
180.949197 220 49 732
181.282698 220 48 733
181.327611 220 47 734
181.776599 220 46 735
182.962568 220 45 736
182.984008 220 44 737
183.323517 219 45 737
183.715367 219 44 738
184.282497 218 45 738
184.826310 218 44 739
184.885332 218 43 740
185.678145 218 42 741
185.726243 218 41 742
185.842477 218 40 743
186.112667 217 41 743
186.187015 216 42 743
187.741149 216 41 744
187.779827 216 40 745
188.599907 216 39 746
188.645016 216 38 747
188.748027 216 37 748
189.395704 215 38 748
189.764378 215 37 749
190.078913 215 36 750
192.361504 214 37 750
192.648102 214 36 751
192.850998 214 35 752
193.123259 213 36 752
193.235976 212 37 752
193.700447 212 36 753
193.918399 212 35 754
194.560063 212 34 755
195.030647 211 35 755
195.072976 211 34 756
195.651254 211 33 757
195.800342 211 32 758
196.124874 210 33 758
196.830860 210 32 759
197.433764 210 31 760
198.266353 210 30 761
198.698612 209 31 761
198.964842 209 30 762
199.476994 208 31 762
199.853506 207 32 762
